time_day,target_survival,target_survival_lb,target_survival_ub,target_at_risk,comparator_survival,comparator_survival_lb,comparator_survival_ub,comparator_at_risk,target_id,comparator_id,outcome_id,analysis_id,database_id
0,1,1,1,1800,1,1,1,830,1,2,3,1,388020256
6,0.9983333333333333,0.9964507067468376,1,NA,0.9951807228915662,0.9904804469702342,0.9999033037395672,NA,1,2,3,1,388020256
7,0.9972222222222221,0.9947937830656,0.9996565895589735,NA,0.9927710843373493,0.9870244945207653,0.998551131575409,NA,1,2,3,1,388020256
8,0.996111111111111,0.9932399877382458,0.998990533937808,NA,0.9915662650602408,0.985364459045974,0.9978071047513218,NA,1,2,3,1,388020256
9,0.9955555555555554,0.992487358536072,0.9986332376660775,NA,0.986746987951807,0.9789977621535885,0.994557552501546,NA,1,2,3,1,388020256
10,0.9927777777777776,0.9888737045295991,0.9966972643065979,NA,0.986746987951807,0.9789977621535885,0.994557552501546,NA,1,2,3,1,388020256
11,0.9888888888888887,0.9840582849770632,0.9937432055568682,NA,0.9843373493975902,0.9759262742597059,0.9928209158566338,NA,1,2,3,1,388020256
12,0.9877777777777775,0.982714856612516,0.9928667829800852,NA,0.9807228915662649,0.9714132353378577,0.9901217680110932,NA,1,2,3,1,388020256
13,0.987222222222222,0.9820472717162084,0.9924244424060922,NA,0.9807228915662649,0.9714132353378577,0.9901217680110932,NA,1,2,3,1,388020256
14,0.9866666666666665,0.9813822041969663,0.9919795844552773,NA,0.9807228915662649,0.9714132353378577,0.9901217680110932,NA,1,2,3,1,388020256
15,0.9822197183098589,0.9761332213232895,0.9883441665153381,NA,0.9795180722891564,0.9699292287115122,0.9892017123926036,NA,1,2,3,1,388020256
16,0.9788826184741516,0.9722621323727524,0.9855481858707689,NA,0.9771084337349396,0.9669866048680893,0.9873362117629201,NA,1,2,3,1,388020256
17,0.9761017019443955,0.9690699959087864,0.9831844310123758,NA,0.9746987951807227,0.964073600034095,0.9854410921460288,NA,1,2,3,1,388020256
18,0.9716522354967858,0.9640134159959568,0.9793515848226132,NA,0.9710843373493974,0.9597510107984264,0.9825514947473962,NA,1,2,3,1,388020256
19,0.9688713189670296,0.960879374960253,0.9769297345525204,NA,0.9674698795180721,0.9554758653493477,0.9796144536131081,NA,1,2,3,1,388020256
20,0.9660904024372735,0.9577624508919367,0.9744907673215096,NA,0.9650602409638552,0.9526483389873829,0.9776338556147415,NA,1,2,3,1,388020256
21,0.9627533026015661,0.9540419423843353,0.971544206278537,NA,0.9626506024096384,0.9498367833543022,0.9756372869105547,NA,1,2,3,1,388020256
22,0.9610847526837124,0.9521889660817033,0.9700636478094362,NA,0.9614457831325299,0.9484365264750294,0.9746334816298969,NA,1,2,3,1,388020256
23,0.9577476528480051,0.9484961115162558,0.9670894328385891,NA,0.9602409638554216,0.947039729661331,0.9736262162894962,NA,1,2,3,1,388020256
24,0.954966736318249,0.9454309109125966,0.9645987421693656,NA,0.9602409638554216,0.947039729661331,0.9736262162894962,NA,1,2,3,1,388020256
25,0.9538543697063466,0.9442076899529612,0.9635996066217363,NA,0.9554156323787611,0.9414763724416177,0.9695612734565076,NA,1,2,3,1,388020256
26,0.949961086564688,0.939938285460636,0.9600907633472026,NA,0.9530029666404309,0.9387121069162948,0.9675113889912235,NA,1,2,3,1,388020256
27,0.9482925366468344,0.9381138331103829,0.9585816809443388,NA,0.9505903009021007,0.935958316173556,0.9654510297674268,NA,1,2,3,1,388020256
28,0.9443969687145998,0.9338653703636051,0.9550473363950359,NA,0.9445586365562751,0.929115126205226,0.9602588449259403,NA,1,2,3,1,388020256
29,0.9405014007823652,0.9296315238193043,0.9514983756569801,NA,0.9445586365562751,0.929115126205226,0.9602588449259403,NA,1,2,3,1,388020256
30,0.9393883813731554,0.9284243460027264,0.9504818942525722,NA,0.9445586365562751,0.929115126205226,0.9602588449259403,NA,1,2,3,1,388020256
31,0.9371623425547356,0.9260131294261273,0.9484457923906184,NA,0.9445586365562751,0.929115126205226,0.9602588449259403,NA,1,2,3,1,388020256
32,0.9354928134409208,0.9242073617252846,0.9469160712655543,NA,0.9421459708179449,0.9263928202908691,0.9581670009594707,NA,1,2,3,1,388020256
33,0.9321517676786318,0.9205999547113511,0.9438485343602246,NA,0.9397333050796148,0.9236783117565501,0.9560673596378767,NA,1,2,3,1,388020256
34,0.9310380857578688,0.9193993207982454,0.9428241869692395,NA,0.9397333050796148,0.9236783117565501,0.9560673596378767,NA,1,2,3,1,388020256
35,0.9304812447974873,0.9187993362368331,0.9423116808790455,NA,0.9397333050796148,0.9236783117565501,0.9560673596378767,NA,1,2,3,1,388020256
36,0.9288107219163428,0.9170006828142442,0.940772862348579,NA,0.9385269722104498,0.9223238435796614,0.9550147528962116,NA,1,2,3,1,388020256
38,0.9249128351936724,0.9128111153116312,0.9371749953044168,NA,0.9373190867893295,0.9209692105428711,0.9539592207883972,NA,1,2,3,1,388020256
39,0.9221286303917648,0.9098244970519477,0.9345991603253586,NA,0.9336954305259687,0.9169156283815924,0.9507823075541066,NA,1,2,3,1,388020256
40,0.9199012665502388,0.907438573384809,0.9325351214069292,NA,0.9336954305259687,0.9169156283815924,0.9507823075541066,NA,1,2,3,1,388020256
41,0.9182307436690944,0.9056510218899835,0.9309852009657666,NA,0.9336954305259687,0.9169156283815924,0.9507823075541066,NA,1,2,3,1,388020256
42,0.9160033798275684,0.9032700558982234,0.9289162043804876,NA,0.9324875451048484,0.9155677261829194,0.9497200446337539,NA,1,2,3,1,388020256
43,0.9148896979068054,0.9020805884676026,0.9278806905244326,NA,0.9324875451048484,0.9155677261829194,0.9497200446337539,NA,1,2,3,1,388020256
44,0.9115486521445164,0.8985161058244007,0.9247702293150365,NA,0.9312796596837282,0.9142214012529789,0.9486562044511256,NA,1,2,3,1,388020256
45,0.9087644473426089,0.8955500294762813,0.9221738524612377,NA,0.9276560034203674,0.9101915131450584,0.9454555972603342,NA,1,2,3,1,388020256
46,0.9082076063822274,0.8949572703505203,0.9216541209475582,NA,0.9252402325781268,0.907512143480207,0.9433146367587942,NA,1,2,3,1,388020256
47,0.9065370835010829,0.8931798829363558,0.9200940364452969,NA,0.9228244617358863,0.9048382512346382,0.9411681988644114,NA,1,2,3,1,388020256
48,0.9020823558180309,0.8884465046125931,0.9159274896726001,NA,0.9204086908936457,0.9021696011838735,0.9390165188018726,NA,1,2,3,1,388020256
49,0.8992981510161233,0.8854926225672005,0.9133189185431555,NA,0.9155771492091647,0.8968471728322089,0.9346982870077185,NA,1,2,3,1,388020256
50,0.8965139462142158,0.8825420336808623,0.9107070542627851,NA,0.9131613783669241,0.8941930050006124,0.9325321248072275,NA,1,2,3,1,388020256
51,0.8954002642934528,0.8813626936448398,0.9096614130344172,NA,0.9119534929458039,0.8928676041182326,0.9314473606838634,NA,1,2,3,1,388020256
52,0.8937297414123082,0.8795946205242197,0.9080920142609236,NA,0.9095377221035633,0.8902200647192632,0.9292745700920821,NA,1,2,3,1,388020256
53,0.8903886956500192,0.8760617625081464,0.9049499284977301,NA,0.9095377221035633,0.8902200647192632,0.9292745700920821,NA,1,2,3,1,388020256
54,0.8881613318084932,0.8737088888580211,0.9028528396350359,NA,0.9071219512613228,0.8875767448086922,0.9270975600397356,NA,1,2,3,1,388020256
55,0.8864908089273487,0.8719454399744048,0.9012788166375794,NA,0.9071219512613228,0.8875767448086922,0.9270975600397356,NA,1,2,3,1,388020256
56,0.8853771270065857,0.8707703707377925,0.9002289046218391,NA,0.9047061804190822,0.8849374967397983,0.9249164781737685,NA,1,2,3,1,388020256
57,0.8837066041254411,0.869008597641012,0.8986532058426479,NA,0.9022904095768417,0.8823021820798294,0.922731462927158,NA,1,2,3,1,388020256
58,0.8820360812442966,0.8672478048853214,0.8970765267254505,NA,0.8998746387346012,0.8796706708221222,0.9205426443067953,NA,1,2,3,1,388020256
59,0.8792518764423891,0.8643152801054562,0.8944465983907368,NA,0.8974588678923606,0.8770428406830637,0.9183501445965238,NA,1,2,3,1,388020256
60,0.8759108306801001,0.8607996671570118,0.8912872676131743,NA,0.8974588678923606,0.8770428406830637,0.9183501445965238,NA,1,2,3,1,388020256
61,0.8747971487593371,0.859628603539132,0.8902333499918599,NA,0.8974588678923606,0.8770428406830637,0.9183501445965238,NA,1,2,3,1,388020256
62,0.8725697849178111,0.8572876596992305,0.8881243313576168,NA,0.8974588678923606,0.8770428406830637,0.9183501445965238,NA,1,2,3,1,388020256
63,0.8714561029970481,0.8561177706098184,0.8870692392120895,NA,0.8962509824712404,0.8757302697749869,0.9172525505907857,NA,1,2,3,1,388020256
64,0.8708992620366666,0.8555329698799725,0.8865415493250012,NA,0.8962509824712404,0.8757302697749869,0.9172525505907857,NA,1,2,3,1,388020256
65,0.8653308524328515,0.8496901126115822,0.8812595004438544,NA,0.8950430970501201,0.8744185764729757,0.9161540789862543,NA,1,2,3,1,388020256
66,0.8631034885913255,0.847355522330695,0.8791441282751064,NA,0.8926273262078795,0.8717977695316266,0.9139545561364538,NA,1,2,3,1,388020256
67,0.860319283789418,0.8444392687953766,0.8764979287566613,NA,0.890211555365639,0.8691803172204251,0.9117516786859513,NA,1,2,3,1,388020256
68,0.8597624428290366,0.8438562782028566,0.87596842873954,NA,0.8865878991022782,0.8652602177524709,0.9084412835670865,NA,1,2,3,1,388020256
69,0.8569764336170176,0.8409405978566797,0.8733180555757954,NA,0.8865878991022782,0.8652602177524709,0.9084412835670865,NA,1,2,3,1,388020256
