covariate_id,covariate_name,covariate_analysis_id,analysis_id,database_id
80180212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Osteoarthritis,212,1,388020256
372328212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Otitis media,212,1,388020256
4266809212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Diverticular disease,212,1,388020256
4218389212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Whiplash injury to neck,212,1,388020256
4112343212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Acute viral pharyngitis,212,1,388020256
4116491212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Escherichia coli urinary tract infection,212,1,388020256
4285898212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Polyp of colon,212,1,388020256
260139212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Acute bronchitis,212,1,388020256
4283893212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Sinusitis,212,1,388020256
40481087212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Viral sinusitis,212,1,388020256
4152936212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Laceration of thigh,212,1,388020256
4296204212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: First degree burn,212,1,388020256
4280726212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Seasonal allergic rhinitis,212,1,388020256
28060212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Streptococcal sore throat,212,1,388020256
4278672212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Fracture of forearm,212,1,388020256
40486433212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Perennial allergic rhinitis,212,1,388020256
4149245212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Rupture of patellar tendon,212,1,388020256
257012212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Chronic sinusitis,212,1,388020256
4294548212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Acute bacterial sinusitis,212,1,388020256
378001212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Concussion with no loss of consciousness,212,1,388020256
4001336212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Concussion injury of brain,212,1,388020256
4132546212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Traumatic brain injury,212,1,388020256
134438212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Contact dermatitis,212,1,388020256
4134304212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Fracture subluxation of wrist,212,1,388020256
80809212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Rheumatoid arthritis,212,1,388020256
4048171212,condition_era group (ConditionGroupEraShortTerm) during day -30 through 0 days relative to index: Perennial allergic rhinitis with seasonal variation,212,1,388020256
